,제목,가수,가사,장르
10,헤어지자 말해요,박재정,"헤어지자고 말하려 오늘
너에게 가다가 우리 추억 생각해 봤어
처음 본 네 얼굴
마주친 눈동자
가까스로 본 너의 그 미소들
손을 잡고 늘 걷던 거리에
첫눈을 보다가 문득 고백했던 그 순간
가보고 싶었던 식당
난생처음 준비한 선물
고맙다는 너의 그 눈물들이
바뀔까 봐 두려워
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
시간이 지나고 나면 나는
어쩔 수 없을 걸 문득 너의 사진 보겠지
새로 사귄 친구 함께
웃음 띤 네 얼굴 보면
말할 수 없을 묘한 감정들이
힘들단 걸 알지만
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
한 번은 널 볼 수 있을까
이기적인 거 나도 잘 알아
그땐 그럴 수밖에 없던
어린 내게 한 번만 더 기회를 주길
그댈 정말 사랑했다 말해요
나는 사실 그대에게
좋은 사람이 되고 싶었어
영영 다신 못 본다 해도
그댈 위한 이 노래가
당신을 영원히 사랑할 테니",발라드
11,사랑은 늘 도망가,임영웅,"눈물이 난다 이 길을 걸으면
그 사람 손길이 자꾸 생각이 난다
붙잡지 못하고 가슴만 떨었지
내 아름답던 사람아
사랑이란 게 참 쓰린 거더라
잡으려 할수록 더 멀어지더라
이별이란 게 참 쉬운 거더라
내 잊지 못할 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
바람이 분다 옷깃을 세워도
차가운 이별의 눈물이 차올라
잊지 못해서 가슴에 사무친
내 소중했던 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
기다림도 애태움도 다 버려야 하는데
무얼 찾아 이 길을 서성일까
무얼 찾아 여기 있나
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
잠시 쉬어가면 좋을 텐데","발라드, 국내드라마"
12,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),"파이팅 해야지
파이팅
아뿔싸 일어나야지 아침인데
눈 감았다 뜨니 해가 중천인데
아침밥은 Pass 10분 더 자야 돼 Oh
Take-out coffee로 (아메 아메 아메 아메)
Story 속에 (친구들은 다 왜)
잘나 보여 (왜 나 나 나만 왜)
또 또 또 또 왜 아등바등 또 왜
이리저리 치여 왜 (I9 I9 I9 I9)
우린 다 이어폰 꽂은 Zombie
필요해 모두 다 텐션 Up pumpin’
힘을 좀 내어보자
우린 여러분의 부석순
반복되는 하루에
시작이 되는 이 노래
네 옆에서 불러주겠어
힘내야지 뭐 어쩌겠어
파이팅 해야지 파이팅 해야지
Don’t give it up Never give it up yeah
파이팅 해야지 파이팅 해야지
우린 부석순
Ah 파이팅 해야지
Story 속에 (친구들은 다 왜)
잘나 보여 (왜 나 나 나만 왜)
또 또 또 또 왜 아등바등 또 왜
이리저리 치여 왜 (I9 I9 I9 I9)
우린 다 이어폰 꽂은 Zombie
필요해 모두 다 텐션 Up pumpin’
힘을 좀 내어보자
우린 여러분의 부석순
반복되는 하루에
시작이 되는 이 노래
네 옆에서 불러주겠어
힘내야지 뭐 어쩌겠어
파이팅 해야지 파이팅 해야지
Don’t give it up Never give it up yeah
파이팅 해야지 파이팅 해야지
Okay 모닝커피는 디카페인
일찍 일어나니 기분 뭣 같지
철없이 부재중 전화 제끼고
Dance with ma laziness
굽은 등, 팔, 다리 전부 다 펴니
Ooh I feel like I’m seventeen
일원도 보탬 안 되는
불행과 같이 살기에는 내 시간이 너무 아깝지 Man
힘을 내 힘을 내 힘을 내 힘을 내
힘을 내 힘을 내 힘을 내 힘을 내
Y’all don’t deserve it
Unfortune is unnecessary
알다시피 인생은
원래 거지 같아
그러니 조금만 힘을 내
구겨진 인생을
연주하는 우린 비운의 베토벤
차분히 다음 악장을 연주해
We got plenty more pages left to play
올라갔다 내려가는 주식같이
알다가도 모르겠는 인생 뭣 같지
한 템포 쉬고 물 한 모금 마시기
자 여기 있어 비타민 A B C
반복되는 하루에
시작이 되는 이 노래
네 옆에서 불러주겠어
힘내야지 뭐 어쩌겠어
파이팅 해야지 파이팅 해야지
Don’t give it up Never give it up yeah
파이팅 해야지 파이팅 해야지
우린 부석순
Ah 파이팅 해야지
Ah 파이팅 해야지",댄스
13,OMG,NewJeans,"이 노래는 it’s about you baby
Only you
You you you
You you you you
내가 힘들 때
울 것 같을 때
기운도 이젠
나지 않을 때
It’s you 날 걱정하네
It’s you 날 웃게하네
말 안 해도 돼
Boy what do you say
(They keep on asking me, ""who is he?"")
멀리든 언제든지 달려와
(They keep on asking me, ""who is he?"")
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""who is he?"")
이게 말이 되니 난 물어봐
(They keep on asking me, ""who is he?"")
너는 말야
He’s the one that’s living in my system baby
Oh my oh my God
예상했어 나
I was really hoping
That he will come through
Oh my oh my God
단 너뿐이야
Asking all the time about what I should do
No I can never let him go
너만 생각나 24
난 행운아야 정말로 I know, I know
널 알기 전까지는 나
의미 없었어 전부 다
내 맘이 끝이 없는 걸 I know, I know
I’m going crazy right?
어디서든
몇 번이든
There ain’t nothing else that I would hold on to
I hear his voice
Through all the noise
잠시라도 내 손 놓지 마 no, no
걱정 없잖아
‘Cause I got someone
혼자라도 괜찮아
‘Cause I love someone
(They keep on asking me, ""who is he?"")
멀리든 언제든지 달려와
(They keep on asking me, ""who is he?"")
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""who is he?"")
이게 말이 되니 난 물어봐
(They keep on asking me, ""who is he?"")
너는 말야
He’s the one that’s living in my system baby
Oh my oh my God
예상했어 나
I was really hoping
That he will come through
Oh my oh my God
단 너뿐이야
Asking all the time about what I should do
No I can never let him go
너만 생각나 24
난 행운아야 정말로 I know, I know
널 알기 전까지는 나
의미 없었어 전부 다
내 맘이 끝이 없는 걸 I know, I know
너와 나
My heart is glowing
It’s glowing up
너랑만 있으면 무서울 게 없어
가득 메워진, 다 메워진 (붉어진)
My heart is glowing, it’d be glowing
‘Cause he
Oh my oh my God
예상했어 나
I was really hoping
That he will come through
Oh my oh my God
단 너뿐이야
Asking all the time about what I should do
No I can never let him go
He’s right there for me 24
난 행운아야 정말로 I know, I know
널 알기 전까지는 나
의미 없었어 전부 다
어떡해
My heart is glowing, it’s glowing
My heart is glowing up
So I can’t sleep at night",댄스
14,Heaven(2023),임재현,"왜 이제 왔나요 더 야윈 그대
나만큼 힘들었나요
두 번 살게 하네요 그대 내 삶을
난 모든 걸 버리려 했죠
왜 나를 떠나요 아플 거면서
사랑이 여기 있는데
다신 그러지 마요 내가 죽어요
그댄 나의 숨이니까요
나 그댈 잃는다는 건
내 삶이 다한 것 살아도 지옥인 거죠
그댄 나의 전부 그댄 나의 운명
헤어질 수 없어요
영원보다 먼 곳에 우리 사랑 가져가요
눈물 없는 세상 나의 사랑 하나로만
그대 살게 할게요
그대와 나 영원히 행복할 그곳
Heaven
울어도 되나요 그대 앞에서
고마워 눈물이 나요
기다렸던 날들이 너무나 아파서
그대 다시 미워지네요
사랑을 버린다는 건 모든 걸 잃는 것
상처만 남기잖아요
그댄 나의 전부 그댄 나의 운명
헤어질 수 없어요
영원보다 먼 곳에 우리 사랑 가져가요
눈물 없는 세상 나의 사랑 하나로만
그대 살게 할게요
그대와 나 영원히 행복할 그곳
Heaven
그댄 나의 전부 그댄 나의 운명
헤어질 수 없어요
영원보다 먼 곳에 우리 사랑 가져가요
눈물 없는 세상 나의 사랑 하나로만
그대 살게 할게요
그대와 나 영원히 행복할 그곳
Heaven","발라드, 국내드라마"
15,우리들의 블루스,임영웅,"잊지는 말아요 함께 했던 날들
눈물이 날 때면
그대 뒤를 돌아보면 돼요
아프지 말아요 쓸쓸한 마음에
힘든 일이 참 많았죠 그대에겐
내가 곁에 있을게요
그댈 위해 노래할게요
잊지 말아요
그댈 위해 약속할게요
언젠가 우리 시간 지나면
알게 되겠죠
그땐 웃을 수 있죠 나 약속할게요
그땐 미소 짓겠죠
작은 행복까지 모두
외롭고 지칠 때 손잡아 줄게요
슬픔이 짙어질 때면 위로해 줄
그 한 사람이 될게요
그대 부디 울지 말아요
슬퍼 말아요
그대에게 빛이 될게요
언젠가 우리 시간 지나면
알게 되겠죠
그땐 웃을 수 있죠 나 약속할게요
폭풍 속에 혼자 남아 헤매도 오
길이 되어 지킬게요 그대
그댈 위해 노래할게요
잊지 말아요
그댈 위해 약속할게요
어두운 길을 밝게 비추는
그대의 빛이 될게요",발라드
16,Teddy Bear,STAYC(스테이씨),"STAYC girls it’s going down
STAYC !
남의 말은 짜릿해
앞뒤로들 Make a fool
내가 볼 땐 아닌데
자기들만 Act so cool
상상은 자윤데 No way
진짜라고 믿거든
왜 자꾸 돌아가려 해
답답해 How can I say
서두르지 마 No hurries
Anyway anyway
우린 다 이번 생은 처음이잖아
정답은 없어 One hunnit
그런 기대감 내려놔 실망도 크니까
Quiet please 비행기 모드로
편히 앉아 불필요한 말 속으로
내가 원할 때만 버튼 Ooh yeah
Yeah yeah yeah yeah
바라만 봐 Just like
Teddy Bear ooh
Teddy Bear ooh
Teddy Bear ooh yeah
Pump pump pump pump it up
Teddy Bear
No no no 멋이 없어 매일매일
똑똑 말로만 So good
뻔뻔해 넌 마치 Like J J
Bang bang
Don’t talk about it
be about it or you will lose
욕심이 과해
Always wake it up, it’s your 꿈
서두르지 마 No hurries
Anyway anyway
우린 다 이번 생은 처음이잖아
정답은 없어 One hunnit
그런 기대감 내려놔 실망도 크니까
Quiet please 비행기 모드로
편히 앉아 불필요한 말 속으로
내가 원할 때만 버튼 Ooh yeah
Yeah yeah yeah yeah
바라만 봐 Just like
Teddy Bear ooh
Teddy Bear ooh
Teddy Bear ooh yeah
Pump pump pump pump it up
Teddy Bear
모드를 확실히 해
걱정이 아니면 참견
Call it now call it now
질투일지도 몰라
잘 하고 있는 건 나
So keep it down 네가 원하는 건 뭘까
Quiet please 비행기 모드로
편히 앉아 불필요한 말 속으로
내가 원할 때만 버튼 Ooh yeah
Yeah yeah yeah yeah
바라만 봐 Just like
Teddy Bear ooh
Teddy Bear ooh
Teddy Bear ooh yeah
Pump pump pump pump it up
Teddy Bear",댄스
17,사건의 지평선,윤하 (YOUNHA),"생각이 많은 건 말이야
당연히 해야 할 일이야
나에겐 우리가 지금 1순위야
안전한 유리병을 핑계로
바람을 가둬 둔 것 같지만

기억나? 그날의 우리가
잡았던 그 손엔 말이야
설레임보다 커다란 믿음이 담겨서
난 함박웃음을 지었지만
울음이 날 것도 같았어
소중한 건 언제나 두려움이니까

문을 열면 들리던 목소리
너로 인해 변해있던 따뜻한 공기
여전히 자신 없지만 안녕히

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니


여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

솔직히 두렵기도 하지만
노력은 우리에게 정답이 아니라서
마지막 선물은 산뜻한 안녕

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니

여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니

여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

사건의 지평선 너머로",록/메탈
18,Cupid,FIFTY FIFTY,"불꺼진 romantic all my life
내 주위는 온통 lovely day
내 눈 속에 비친 arrow sign
(oh why oh why, oh why oh why)
I’m feeling lonely (lonely)
그만 힐끗대고 말해줘요
hold me (hold me)
다시 crying in my room
숨기고 싶어 (say what you say
but I want it more)
But still I want it more, more, more
I gave a second chance to Cupid
널 믿은 내가 정말 stupid
보여줄게 숨겨왔던 love, is it real?
Cupid is so dumb
또 꿈길을 걷는 everyday
눈 뜨면 다시 또 flew away
Waiting around is a waste (waste)
나 솔직히 지금이 편해
상상만큼 짜릿한 걸까?
Now I’m so lonely (lonely)
매일 꿈속에서 연습했죠
kiss me (kiss me)
다시 crying in my room
포기할까봐 (say what you say
but I want it more)
But still I want it more, more, more
I gave a second chance to Cupid
널 믿은 내가 정말 stupid
보여줄게 숨겨왔던 love, is it real?
Cupid is so dumb
I'm so lonely hold me tightly
짜릿한 걸 원해
who will really love me truly
내게 기다림은 없어 I can’t wait
더는 믿지 않아 now
I’m gonna make it mine
Love is a light I’ll show my love is right
It’s not a joke
so give it to me right now
No more chance to you
You know? Hey, d-d-d-dumb boy
꿈속에 매일 밤 someone
who will share this feeling
I’m a fool, a fool for love,
a fool for love
I gave a second chance to Cupid
널 믿은 내가 정말 stupid
보여줄게 숨겨왔던 love, is it real?
Cupid is so dumb
I gave a second chance to Cupid
널 믿은 내가 정말 stupid
다시 한번 못 들은 척 기회를 줄게
Cupid is so dumb",댄스
19,다시 만날 수 있을까,임영웅,"너를 위해 해 줄 것이 하나 없어서
보낼 수밖에 없었고
네가 없이 사는 법을 알지 못해서
순간순간을 울었다
후회로 가득한 한숨 자락이
시린 바람처럼
가슴 치는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
붙잡을 마음이야 없었겠냐마는
그때 난 부끄러웠다
떳떳하게 일어나 널 다시 찾아갈
뜨거운 꿈만 꾸었다
둘이 함께 했던 순간순간이
시린 폭포처럼
쏟아지는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
그리운 마음이 서럽게 흘러넘쳐
너에게 닿을 때
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까",발라드
20,I Don't Think That I Like Her,Charlie Puth,"Get her name and get her number
Find out all of the things
that we have in common
Never all the differences,
oh, yeah
Meet her parents, meet her brother
Then she starts sleepin'
over the crib on weekends
Like a real relationship, oh, no
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore
Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore
Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
So I hook up on a rebound
And I say that I'm gonna be
single for life
But she's so pretty
and nice (Pretty and nice)
So I made just one exception
But I find out eventually
I'm not her type
Baby, that's the reason why, that
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore (Yeah)
Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore (No)
Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
I'm trying not to be bitter
But damn it, I miss her
'Cause she's one of a kind
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore
Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore
Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
Then we fall,
we fall, fall, fall apart now
I don't think
that I like her anymore
Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)",POP
21,London Boy,임영웅,"꿈에 그리던 그곳 난 여기 있어
저 푸른 바다 위로 널 닮은 하늘
I’m in London oh,
I’m in London, yeah
드넓은 공원 안에 널 담은 향기
가는 모든 곳마다 난 네가 보여
I’m in London,
yeah, I’m in London, oh
나지막한 소리가 들려와
수많은 별들 사이 너에게
Baby baby baby my baby
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
Hold me tight baby,
you’re my everything
널 만나고 난 변했어
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
I’m London, London Boy
Oh oh no no no
London Boy yeah
셰익스피어, 처칠, 비틀즈, 숀 코네리
해리포터, 데이비드 베컴 모든 게 있어
Baby You are my London Girl
행복은 너와 함께 즐기는 거야
내 모든 걸 다 줘도 아깝지 않아
너는 내게, Oh
그런 사람, Oh
나지막한 소리가 들려와
수많은 별들 사이 너에게
Baby baby baby my baby
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
Hold me tight baby,
you’re my everything
널 만나고 난 변했어
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
I’m London, London Boy
널 만나고 내가 변했다
Oh, I’m London Boy
Baby baby baby my baby
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
Hold me tight baby,
you’re my everything
널 만나고 난 변했어
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
I’m London, London Boy
La la la la la la la la
La la la la la la la la
La la la la la la la la
I’m London, London Boy",록/메탈
22,빛이 나는 너에게,던 (DAWN),"그때 널 만나지 않았더라면
지금의 우린 어디에 있을까
가장 예쁠 때의 너를 만나서
누가 뭐라 해도 뭐든 견딜 수가 있었어
빛이 나는 널 위해 많은 걸
놓아야만 한대도
괜찮아 난
알잖아 넌 내 전부였던 걸
날 잊어버릴 만큼 행복했어
괜찮아 내 모든 걸 잃어도
눈부시게 빛나는 널 볼 수만 있다면
봄날처럼 아름다웠어
너와 나는 한 폭의 그림처럼
돌이킬 수 없는 시간
새겨진 한 장면 속에
그림자조차 눈부셨으니까
빛이 났던 우리의 기억이
점점 사라진대도
괜찮아 난
알잖아 넌 내 전부였던 걸
날 잊어버릴 만큼 행복했어
괜찮아 내 모든 걸 잃어도
눈부시게 빛나는 널 볼 수만 있다면
깜깜했던 어둠 속
환하게 날 비추던 네가 보여
그 끝에 널 만났어
아무렇지 않은 듯
괜찮아 난
고마워 네가 전부였던 건
세상을 가진 만큼 행복했어
괜찮아 내 모든 걸 잃어도
눈부시게 빛나는 널 볼 수만 있다면",R&B/Soul
23,Polaroid,임영웅,"별들이 짙던 밤 하늘에 약속한 고백
아직도 맘에
당연하듯 남아 있어요
어제 일같이 선명하네요
가슴 저리는 게 사랑이 아니라
그 누가 뭐라던가, 오
심장이 뛰는데 아프게 뛰는데
이게 사랑인 거야
운명 같은 밤 너를 만나
영원하자고 외쳤던 그 밤
네가 날 잊어도
난 널 꺼내 볼 테니까 언제나
내 맘속 사진첩 한 켠엔 그대가 있지
참 행복했지 때론 아픈 날이 있어도
버릴 수 없는 추억이 됐지
가슴 저리는 게 사랑이 아니라
그 누가 뭐라던가, 오
심장이 뛰는데 아프게 뛰는데
이게 사랑인 거야
운명 같은 밤 너를 만나
영원하자고 외쳤던 그 밤
네가 날 잊어도
난 널 꺼내 볼 테니까 언제나
우~ 예~
우~
네가 날 잊어도
난 널 꺼내 볼 테니까 언제나
한 장씩 널 기억하며 보낼게
우리 모든 순간 가슴 떨리던 날
모든 날이 따스하게 감싸준
널 사랑했다
운명 같은 밤 너를 만나
셀 수 없이 많은 날 함께 했지
사랑했어요 아주 많이
사진첩 속의 그대여
영원히 기억할게 시간이 지나도
언제나",록/메탈
24,After LIKE,IVE (아이브),"또 모르지 내 마음이
저 날씨처럼 바뀔지
날 나조차 다 알 수 없으니
그게 뭐가 중요하니
지금 네게 완전히
푹 빠졌단 게 중요한 거지
아마 꿈만 같겠지만
분명 꿈이 아니야
달리 설명할 수 없는
이건 사랑일 거야
방금 내가 말한 감정
감히 의심하지 마
그냥 좋다는 게 아냐
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?
조심해 두 심장에 핀
새파란 이 불꽃이
저 태양보다 뜨거울 테니
난 저 위로 또 아래로
내 그래프는 폭이 커
Yeah that's me
두 번 세 번 피곤하게
자꾸 질문하지 마
내 장점이 뭔지 알아?
바로 솔직한 거야
방금 내가 말한 감정
감히 의심하지 마
그냥 좋다는 게 아냐
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?
What after like 내 맘에 strike
지금 느낀 짜릿함은 마치 tike
LO 다음에 I 그 다음에 VE
여긴 너와 내 space
아무도 막지 못해
나를 보면 눈 깜빡할
시간 조차도 아까울 걸
드디어 만나 반가워
LOVE 사이 놓일 I
(What's after 'LIKE'?)
You and I
It's more than 'LIKE'
E 앞 또 V 앞 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
You and I
It's more than 'LIKE'
L 다음 또 O 다음 난 yeah
You and I
It's more than 'LIKE'
What's after 'LIKE'?
What's after 'LIKE'?",댄스
25,이제 나만 믿어요,임영웅,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요",성인가요/트로트
26,Dangerously,Charlie Puth,"This is gonna hurt
but I blame myself first
cause I ignored the truth
Drunk off that love my head up
there's no forgetting you
You've awoken me
but you're choking me
I was so obsessed
Gave you all of me
and now honestly
I've got nothing left
I loved you dangerously
More than the air that I breathe
Knew we would crash at the
speed that we were going
Didn't care if the explosion
ruined me
Baby I loved you dangerously
I loved you dangerously
Usually I hold the power with
both my hands tied behind my back
Look at how things change
cause now you're the train
and I'm tied to the track
You've awoken me
but you're choking me
I was so obsessed
Gave you all of me and now
honestly I've got nothing left
Cause I loved you dangerously
More than the air that I breathe
Knew we would crash at the
speed that we were going
Didn't care if the explosion
ruined me
Baby I loved you dangerously
You took me down
down down down
And kissed my lips with goodbye
I see you now now now now
It was a matter of time
You know I know
there's only one place
this could lead
But you are the fire
I'm gasoline
I love you I love you I love you
I loved you dangerously
More than the air that I breathe
Oh now I knew we would crash at
the speed that we were going
Didn't care if the explosion
ruined me
Oh oh baby I loved you
dangerously
Oo I loved you dangerously
Oo oo I loved you dangerously",POP
27,FRIEND THE END,볼빨간사춘기,"요즘엔 썸이라는 단어를 난 쓰지 않아
친구란 완벽한 단어로 숨길 수가 있지
사랑이 좀처럼 내키지 않아 난 이대로
아슬아슬하게 선을 넘어
벚꽃이 피면 또 같은 곳에 서 있겠지
분홍빛으로 물든 계절을 함께하며
꽃잎이 하나 둘 셋
시간이 하나 둘 셋
Cherry Blossom 내 손을 잡아 넌
아무렇지 않지 않게 웃어버리면
사랑일까 널 바라보며 난
고개를 들어 입 맞춰버린 거야 이제 난
FRIEN(D) THE END
FRIEN(D) THE END
FRIEN(D) THE END
THE END
벚꽃이 피면 또 같은 곳에 서 있겠지
분홍빛으로 물든 계절을 함께하며
꽃잎이 하나 둘 셋
시간이 하나 둘 셋
Cherry Blossom 내 손을 잡아 넌
아무렇지 않지 않게 웃어버리면
사랑일까 널 바라보며 난
고개를 들어 입 맞춰버린 거야 이제
숨길 수 없는가 봐
널 좋아하는 게
네 곁에 있을 때 자꾸 맘이 아픈 게
꽃잎이 떨어지네
우리 머리 위로
웃음이 터져버린 거야 This is love
Cherry Blossom 내 손을 잡아 넌
아무렇지 않지 않게 웃어버리면
사랑일까 널 바라보며 난
고개를 들어 입 맞춰버린 거야 이제 난
Friend the end 하얀 Blossom
Friend the end Cherry Blossom
FRIEN(D) THE END
FRIEN(D) THE END
FRIEN(D) THE END
THE END","인디음악, 포크/블루스"
28,무지개,임영웅,"오늘 하루 어땠었나요
많이 힘들었나요
쉬지 않고 달려왔던 길에서
나와 함께 쉬어가요
그냥 아무런 준비도 없이
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
힘껏 살다 보니 무뎌져
헝클어진 머리도
괜찮다며 그댈 안아줄 사람
바로 그대 곁에 있죠
까만 선글라스 하나 챙겨서
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
지금 떠나요",록/메탈
